time_accessed,tweet_id,full_text,created_at,geo,place_name,coordinates,user_location
2021-10-22 15:50,1.45E+18,@ACTforAmerica If 50% herd immunity why are they still pushing  vaccines. I got Cancer just found out should I be taking experimental vaxs,2021-10-17 21:20,,Hope,,"Hope, B.C."
2021-10-22 15:50,1.45E+18,"@IanDJbrown2 @Narvuntien @Canadianworker2 @jimdtweet @Kenneth72712993 @4Clearsky @BubbasRanch @keithamccluskey @OscarsWild1 @MassiMassian @JohnDublin10 @TWTThisIsNow @robhon_ @25_cycle @EricWil06256732 @dan613 @chimera414 @IngersolRobert @GuyGadboisGuyG1 @DaveJohn0175 @Tragiicomedy @TheDisproof @rvrs_man @Shinedown1911 @priscian @BigRakaDoc @FillmoreWhite @robinlarder @RealBeeOlogist @DawnTJ90 @ejwwest @SniemN @BarbaraGirouard @rln_nelson @Jaisans @Extinct55021670 @GlennCarr6 @BridgetHolmstro @MedBennett @Tcaddy5 @LauraSunlight @HalBrow68884227 @BradSchrag @RushhourP @Sdg13Un @dtd1985 @Keeper_86 @organicdot @BrknMan just stop being stupid Ian, what's your doc going to do for you when you aquire covid. You claim you have immunity issues publicly on twitter, be prudent to know what's in store.",2021-10-17 17:12,,Calgary,,Calgary
2021-10-22 15:50,1.45E+18,@keithamccluskey @JohnDublin10 @Narvuntien @Tragiicomedy @chimera414 @Gordon_DHG @BubbasRanch @jimdtweet @OscarsWild1 @Kenneth72712993 @MassiMassian @TWTThisIsNow @robhon_ @4Clearsky @25_cycle @EricWil06256732 @dan613 @IanDJbrown2 @IngersolRobert @GuyGadboisGuyG1 @DaveJohn0175 @TheDisproof @rvrs_man @Shinedown1911 @priscian @BigRakaDoc @Canadianworker2 @FillmoreWhite @robinlarder @RealBeeOlogist @DawnTJ90 @ejwwest @SniemN @BarbaraGirouard @rln_nelson @Jaisans @Extinct55021670 @GlennCarr6 @BridgetHolmstro @MedBennett @Tcaddy5 @LauraSunlight @HalBrow68884227 @BradSchrag @RushhourP @Sdg13Un @dtd1985 @Keeper_86 @organicdot the people who got covid have immunity steming from many parts of the virus. those who are solely vaccinated have immunity from 2 binding locations on the spike protien,2021-10-17 15:17,,Calgary,,Calgary
2021-10-22 15:50,1.45E+18,"This author himself is biased just based on his position. Vaccines do work for some, some do not need them.  Using the word immunity is wrong""Opinion: The next wave of pandemic misinformation will stem from changing hospitalization ratios | Calgary Herald"" https://t.co/moApl3RNGH",2021-10-17 13:46,,Calgary,,"Calgary, Alberta"
2021-10-22 15:50,1.45E+18,@ngtvtyoutlet @milknsugar2014 Natural immunity still exists. It's not likely you'll get covered again. Therefore a vaccine and masking is totally unnecessary for you.,2021-10-17 5:24,,Mississauga,,GTA Ontario Canada
2021-10-22 15:50,1.45E+18,"We all need to work together to come up with a solution to live peacefully together at the end of the pandemic. We cannot simply eliminate people from society, people have a right to work and live and make choices over their own health. 
Vaccine &amp; Natural Immunity both work",2021-10-17 2:46,,Queensbury,,"New Brunswick, Canada"
2021-10-22 15:50,1.45E+18,@eliknowsnothing @BobFakeAccount2 @OzraeliAvi O.k! I will believe you and the rednecks propaganda instead of modern science. Don't forget to stay home with your natural immunity when getting sick with covid and not run to a modern science facility for help. Lol!,2021-10-16 21:21,,Halifax,,United States
2021-10-22 15:50,1.45E+18,"I'm going to begin advocating for three approaches to this pandemic. The vaccine can be one part, immunity testing can be another part and rapid testing can be another part. This is not going to end with a one size fits all strategy.
STAND UP, SPEAK UP, STOP DISCRIMINATION
SHARE https://t.co/Zz7kC37HRz",2021-10-16 10:52,,Bright,,"New Brunswick, Canada"
2021-10-22 15:50,1.45E+18,@AlexMunter @CHEO We need to protect the kids who cannot be vaccinated and seniors whose immunity is weaker.  Dad and Mom are at @GlebeCentre and they are putting in similar vaccine mandate effective Oct 15 so unvaccinated staff would not be able to work as of Oct 16!  I fully support these moves!,2021-10-16 8:18,,Ottawa,,"Ottawa, ON, Canada ++"
2021-10-22 15:50,1.45E+18,"Why some of the Chinese Covid jabs are not working: Beijing, Oct 15 – China’s CoronaVac and Sinopharm Covid vaccines may be waning in immunity levels, several studies have shown. CoronaVac and Sinopharm — both inactivated vaccines,… https://t.co/NsjRUqm8vR #Covid19 #Health",2021-10-15 20:47,"{'type': 'Point', 'coordinates': [43.7742911, -79.7164011]}",Brampton,"{'type': 'Point', 'coordinates': [-79.7164011, 43.7742911]}",Toronto
2021-10-22 15:50,1.45E+18,"Not sure what the problem is Zack. Some may say; long term studies on side effects, a forced vaccine shot for a virus that has a 98% recovery rate, a virus that has only infected 5% of the population, natural immunity, why does the vaccine only last a couple months? Just saying. https://t.co/PStgdvuo9R",2021-10-15 20:02,,Oshawa,,
2021-10-22 15:50,1.45E+18,@howisthismylif @madcanadian2017 Best wishes he gets past the injury with no lasting damage. My son covid recovered with better lasting immunity has to risk his health to avoid #apartheid,2021-10-15 16:57,,Calgary,,Calgary
2021-10-22 15:50,1.45E+18,"@richardzussman @ReneeMerrifiel3 When will the vaccine passport be gone?

There isn’t much point to it except compliance now that we know vaccinated spread Covid in a big way and immunity declines precipitously with time.",2021-10-15 15:02,,Vancouver,,"Vancouver, British Columbia"
2021-10-22 15:50,1.45E+18,@jpkiekens *Herd immunity doesn't necessarily apply to delta like variants,2021-10-14 0:54,,Mississauga,,Canada
2021-10-22 15:50,1.45E+18,@TorontosMayor maybe you can post some empirical data proving how mandatory vaccination is going to 1)  prevent the spread of COVID by unvaxed to vaxed  and 2) how we will reach herd immunity. And 3) effectiveness and safety of mask wearing in schools.!! PH and Kieran haven’t yet,2021-10-13 23:14,,Ajax,,"Ajax, Ontario"
2021-10-22 15:50,1.45E+18,"@nwoupdate @IkeB247 @hairofdogreview @adamkokesh 1) ""natural immunity"" is not as good as being vaccinated. 
2) it doesnt earn you a vax passport or get you around a mandate. Tell your employer you have ""natural immunity"" because you already had covid. They will say ""that's nice now go get vaccinated or stay home"".",2021-10-13 21:42,,Toronto,,"Toronto, and Vancouver Canada"
2021-10-22 15:50,1.45E+18,@stevendecker37 @FisherGrubb @OzraeliAvi The vaccine gives you stronger immunity than natural immunity but whatever.,2021-10-13 16:14,,St. Albert,,United States
2021-10-22 15:50,1.45E+18,"I'm thinking about today's international graduate students. I had to face a different language, culture, weather, learning style. In addition, these students have to face a pandemic. If you are a student going through a rough time, see what resources are available on campus.",2021-10-22 15:48,,Port Moody,,"Port Moody, BC, Canada"
2021-10-22 15:50,1.45E+18,@moarsnax We are now worse than any province at any point in the pandemic while Moe is gaslighting the proinvece and country by saying cases are falling. Even Kenney managed put some public health orders in. https://t.co/MyAtYwcJaI,2021-10-22 15:45,,Regina,,"Regina, Saskatchewan"
